etab|x|y|annee|commune|secteur|acad|dep|nom_norme|ep|effectif_1er_cycle|ips_total|note_ecrit_dnb|ens_inf_35_ans
0360498W|580860.8|6644473.9|2017|36031|public|OrlÃ©ans-Tours|36|COLLEGE LES SABLONS|Hors EP|447|129.3|12|30.5
0360510J|552122.2|6616561.8|2014|36018|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINTE ANNE|Hors EP|205|116.2|11|33.4
0360510J|552122.2|6616561.8|2015|36018|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINTE ANNE|Hors EP|188|88.6|11.2|6.2
0360510J|552122.2|6616561.8|2016|36018|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINTE ANNE|Hors EP|172|109.8|12.1|10.9
0360510J|552122.2|6616561.8|2017|36018|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINTE ANNE|Hors EP|161|107.9|11.9|0
0360511K|580190.4|6644331.7|2014|36031|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE IMMACULEE CONCEPTION|Hors EP|167|127.3|10.2|22.4
0360511K|580190.4|6644331.7|2015|36031|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE IMMACULEE CONCEPTION|Hors EP|158|109.4|11.2|37.8
0360511K|580190.4|6644331.7|2016|36031|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE IMMACULEE CONCEPTION|Hors EP|153|78.8|10.4|42.2
0360511K|580190.4|6644331.7|2017|36031|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE IMMACULEE CONCEPTION|Hors EP|153|96|9.3|16
0360512L|558564.4|6659153.1|2014|36188|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT JOSEPH|Hors EP|57|103|9.4|41.6
0360512L|558564.4|6659153.1|2015|36188|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT JOSEPH|Hors EP|52|103.5|11.3|8.1
0360512L|558564.4|6659153.1|2016|36188|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT JOSEPH|Hors EP|44|92.2|12.1|9.2
0360512L|558564.4|6659153.1|2017|36188|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT JOSEPH|Hors EP|39|76.9|8|29.3
0360525A|591175.1|6674814.7|2014|36228|public|OrlÃ©ans-Tours|36|COLLEGE ALAIN FOURNIER|Hors EP|273|81.5|7.6|48.9
0360525A|591175.1|6674814.7|2015|36228|public|OrlÃ©ans-Tours|36|COLLEGE ALAIN FOURNIER|Hors EP|265|114.7|11.8|20.4
0360525A|591175.1|6674814.7|2016|36228|public|OrlÃ©ans-Tours|36|COLLEGE ALAIN FOURNIER|Hors EP|276|97|8.7|14
0360525A|591175.1|6674814.7|2017|36228|public|OrlÃ©ans-Tours|36|COLLEGE ALAIN FOURNIER|Hors EP|248|108.1|10.6|22.8
0360541T|601289.3|6634169.4|2014|36044|public|OrlÃ©ans-Tours|36|COLLEGE ROSA PARKS|REP+|275|98.4|12.3|32.1
0360541T|601289.3|6634169.4|2015|36044|public|OrlÃ©ans-Tours|36|COLLEGE ROSA PARKS|REP+|265|76|12.1|33.9
0360541T|601289.3|6634169.4|2016|36044|public|OrlÃ©ans-Tours|36|COLLEGE ROSA PARKS|REP+|294|92.4|13|36.2
0360541T|601289.3|6634169.4|2017|36044|public|OrlÃ©ans-Tours|36|COLLEGE ROSA PARKS|REP+|293|127.9|10.6|21.2
0360543V|599910.4|6636893.3|2014|36044|public|OrlÃ©ans-Tours|36|COLLEGE COLBERT|Hors EP|416|98.2|9.4|0
0360543V|599910.4|6636893.3|2015|36044|public|OrlÃ©ans-Tours|36|COLLEGE COLBERT|Hors EP|383|95.6|9|18.5
0360543V|599910.4|6636893.3|2016|36044|public|OrlÃ©ans-Tours|36|COLLEGE COLBERT|Hors EP|359|123.5|11.6|39.2
0360543V|599910.4|6636893.3|2017|36044|public|OrlÃ©ans-Tours|36|COLLEGE COLBERT|Hors EP|344|111.3|10.1|61
0360544W|624224.7|6649892.8|2014|36088|public|OrlÃ©ans-Tours|36|COLLEGE DENIS DIDEROT|REP|366|78|10.5|8.9
0360544W|624224.7|6649892.8|2015|36088|public|OrlÃ©ans-Tours|36|COLLEGE DENIS DIDEROT|REP|377|113.5|9.9|29.5
0360544W|624224.7|6649892.8|2016|36088|public|OrlÃ©ans-Tours|36|COLLEGE DENIS DIDEROT|REP|355|109.2|10.7|16.1
0360544W|624224.7|6649892.8|2017|36088|public|OrlÃ©ans-Tours|36|COLLEGE DENIS DIDEROT|REP|381|104.1|8.9|57.2
0360546Y|579358|6616124.7|2014|36192|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MOULIN|Hors EP|208|60.2|12.1|5.8
0360546Y|579358|6616124.7|2015|36192|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MOULIN|Hors EP|216|87.5|10.8|38.1
0360546Y|579358|6616124.7|2016|36192|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MOULIN|Hors EP|209|115.2|12.2|13.1
0360546Y|579358|6616124.7|2017|36192|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MOULIN|Hors EP|225|82|11.9|30.2
0360567W|600894.3|6635743.4|2014|36044|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE LEON XIII|Hors EP|380|125.6|11.2|14.1
0360567W|600894.3|6635743.4|2015|36044|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE LEON XIII|Hors EP|410|77.2|10.8|24.3
0360567W|600894.3|6635743.4|2016|36044|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE LEON XIII|Hors EP|411|110.4|9.6|1
0360567W|600894.3|6635743.4|2017|36044|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE LEON XIII|Hors EP|404|105.6|13.9|24.4
0360568X|623723.1|6650719.5|2014|36088|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT CYR|Hors EP|179|125.8|9.2|20.2
0360568X|623723.1|6650719.5|2015|36088|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT CYR|Hors EP|155|102.8|8.9|25.4
0360568X|623723.1|6650719.5|2016|36088|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT CYR|Hors EP|153|120.6|10.2|33.6
0360568X|623723.1|6650719.5|2017|36088|privé sous contrat|OrlÃ©ans-Tours|36|COLLEGE PRIVE SAINT CYR|Hors EP|150|92.2|9.3|40.8
0360573C|610092.7|6627232.5|2014|36005|public|OrlÃ©ans-Tours|36|COLLEGE STANISLAS LIMOUSIN|Hors EP|342|96.9|10.4|28.6
0360573C|610092.7|6627232.5|2015|36005|public|OrlÃ©ans-Tours|36|COLLEGE STANISLAS LIMOUSIN|Hors EP|318|92|9.3|38.6
0360573C|610092.7|6627232.5|2016|36005|public|OrlÃ©ans-Tours|36|COLLEGE STANISLAS LIMOUSIN|Hors EP|311|110.6|12|39.2
0360573C|610092.7|6627232.5|2017|36005|public|OrlÃ©ans-Tours|36|COLLEGE STANISLAS LIMOUSIN|Hors EP|299|108.6|13.3|10.2
0360658V|601494|6636907.6|2014|36063|public|OrlÃ©ans-Tours|36|COLLEGE ROMAIN ROLLAND|Hors EP|509|106.9|8.3|30.9
0360658V|601494|6636907.6|2015|36063|public|OrlÃ©ans-Tours|36|COLLEGE ROMAIN ROLLAND|Hors EP|498|84.8|12.1|21.5
0360658V|601494|6636907.6|2016|36063|public|OrlÃ©ans-Tours|36|COLLEGE ROMAIN ROLLAND|Hors EP|466|108.6|11.3|5.5
0360658V|601494|6636907.6|2017|36063|public|OrlÃ©ans-Tours|36|COLLEGE ROMAIN ROLLAND|Hors EP|484|117.6|10.7|11.4
0360690E|602362.5|6633702.4|2014|36044|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MONNET|Hors EP|525|119.6|14.7|21.5
0360690E|602362.5|6633702.4|2015|36044|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MONNET|Hors EP|494|107.3|11.2|40.4
0360690E|602362.5|6633702.4|2016|36044|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MONNET|Hors EP|495|126.9|9.9|30.5
0360690E|602362.5|6633702.4|2017|36044|public|OrlÃ©ans-Tours|36|COLLEGE JEAN MONNET|Hors EP|474|112.4|13|2.1
0360718K|585881.2|6611002.1|2014|36006|public|OrlÃ©ans-Tours|36|COLLEGE ROLLINAT|Hors EP|603|95.4|11.2|16.9
0360718K|585881.2|6611002.1|2015|36006|public|OrlÃ©ans-Tours|36|COLLEGE ROLLINAT|Hors EP|629|91.9|10.7|24.3
0360718K|585881.2|6611002.1|2016|36006|public|OrlÃ©ans-Tours|36|COLLEGE ROLLINAT|Hors EP|592|111.1|10.1|33.5
0360718K|585881.2|6611002.1|2017|36006|public|OrlÃ©ans-Tours|36|COLLEGE ROLLINAT|Hors EP|563|83.9|12.2|2.9
0360719L|551543.2|6617380.1|2014|36018|public|OrlÃ©ans-Tours|36|COLLEGE LES MENIGOUTTES|Hors EP|358|118.2|9|20.7
0360719L|551543.2|6617380.1|2015|36018|public|OrlÃ©ans-Tours|36|COLLEGE LES MENIGOUTTES|Hors EP|331|114.4|8.2|43.7
0360719L|551543.2|6617380.1|2016|36018|public|OrlÃ©ans-Tours|36|COLLEGE LES MENIGOUTTES|Hors EP|326|117.3|12.2|7.6
0360719L|551543.2|6617380.1|2017|36018|public|OrlÃ©ans-Tours|36|COLLEGE LES MENIGOUTTES|Hors EP|335|90|10.8|26.8
0360720M|622331.6|6609653.7|2014|36046|public|OrlÃ©ans-Tours|36|COLLEGE GEORGE SAND|Hors EP|629|86.1|9.2|40.2
0360720M|622331.6|6609653.7|2015|36046|public|OrlÃ©ans-Tours|36|COLLEGE GEORGE SAND|Hors EP|596|112.3|10.3|17.6
0360720M|622331.6|6609653.7|2016|36046|public|OrlÃ©ans-Tours|36|COLLEGE GEORGE SAND|Hors EP|561|106.8|12.4|25.8
0360720M|622331.6|6609653.7|2017|36046|public|OrlÃ©ans-Tours|36|COLLEGE GEORGE SAND|Hors EP|541|113.9|10.2|16.7
0360721N|623748|6650430.5|2014|36088|public|OrlÃ©ans-Tours|36|COLLEGE HONORE DE BALZAC|Hors EP|425|84.7|12.4|7.9
0360721N|623748|6650430.5|2015|36088|public|OrlÃ©ans-Tours|36|COLLEGE HONORE DE BALZAC|Hors EP|430|91.1|11.1|52.8
0360721N|623748|6650430.5|2016|36088|public|OrlÃ©ans-Tours|36|COLLEGE HONORE DE BALZAC|Hors EP|431|87.8|11.9|35.2
0360721N|623748|6650430.5|2017|36088|public|OrlÃ©ans-Tours|36|COLLEGE HONORE DE BALZAC|Hors EP|414|88.7|11.8|38.7
0370006F|499126.8|6719207.1|2014|37062|public|OrlÃ©ans-Tours|37|COLLEGE JOACHIM DU BELLAY|Hors EP|207|128.6|10.8|17.5
0370006F|499126.8|6719207.1|2015|37062|public|OrlÃ©ans-Tours|37|COLLEGE JOACHIM DU BELLAY|Hors EP|203|96.1|10.2|14.6
0370006F|499126.8|6719207.1|2016|37062|public|OrlÃ©ans-Tours|37|COLLEGE JOACHIM DU BELLAY|Hors EP|214|99|9.8|32.7
0370006F|499126.8|6719207.1|2017|37062|public|OrlÃ©ans-Tours|37|COLLEGE JOACHIM DU BELLAY|Hors EP|217|96|9.2|28.7
0370007G|543506.3|6723999.2|2014|37063|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE BAUCHANT|Hors EP|758|100.3|10|41.3
0370007G|543506.3|6723999.2|2015|37063|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE BAUCHANT|Hors EP|746|98.2|11|14.4
0370007G|543506.3|6723999.2|2016|37063|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE BAUCHANT|Hors EP|778|99.2|11.8|15.6
0370007G|543506.3|6723999.2|2017|37063|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE BAUCHANT|Hors EP|780|120.6|12.3|38.4
0370010K|536190.6|6687113.9|2014|37083|public|OrlÃ©ans-Tours|37|COLLEGE ALCUIN|Hors EP|503|115.1|9.3|0
0370010K|536190.6|6687113.9|2015|37083|public|OrlÃ©ans-Tours|37|COLLEGE ALCUIN|Hors EP|485|104.3|9|21.9
0370010K|536190.6|6687113.9|2016|37083|public|OrlÃ©ans-Tours|37|COLLEGE ALCUIN|Hors EP|481|95.8|14.3|44.9
0370010K|536190.6|6687113.9|2017|37083|public|OrlÃ©ans-Tours|37|COLLEGE ALCUIN|Hors EP|455|96.8|12|33.3
0370011L|532999.3|6649220.2|2014|37113|public|OrlÃ©ans-Tours|37|COLLEGE LOUIS LEGER|Hors EP|99|100.9|10.8|50.1
0370011L|532999.3|6649220.2|2015|37113|public|OrlÃ©ans-Tours|37|COLLEGE LOUIS LEGER|Hors EP|101|121.3|11.4|20.1
0370011L|532999.3|6649220.2|2016|37113|public|OrlÃ©ans-Tours|37|COLLEGE LOUIS LEGER|Hors EP|93|106.9|10.1|29.9
0370011L|532999.3|6649220.2|2017|37113|public|OrlÃ©ans-Tours|37|COLLEGE LOUIS LEGER|Hors EP|93|103.7|9.6|24.5
0370013N|505186.2|6671582|2014|37119|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE DUCHESNE|Hors EP|263|112.9|9.1|43.8
0370013N|505186.2|6671582|2015|37119|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE DUCHESNE|Hors EP|251|123.3|12.5|0.5
0370013N|505186.2|6671582|2016|37119|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE DUCHESNE|Hors EP|230|102.4|10.3|12.6
0370013N|505186.2|6671582|2017|37119|public|OrlÃ©ans-Tours|37|COLLEGE ANDRE DUCHESNE|Hors EP|222|128.7|8.2|12
0370015R|534045.5|6662306.6|2014|37130|public|OrlÃ©ans-Tours|37|COLLEGE MAURICE GENEVOIX|Hors EP|354|107.5|9.3|27.7
0370015R|534045.5|6662306.6|2015|37130|public|OrlÃ©ans-Tours|37|COLLEGE MAURICE GENEVOIX|Hors EP|363|104.1|8.4|9.6
0370015R|534045.5|6662306.6|2016|37130|public|OrlÃ©ans-Tours|37|COLLEGE MAURICE GENEVOIX|Hors EP|344|107.5|11.6|38.7
0370015R|534045.5|6662306.6|2017|37130|public|OrlÃ©ans-Tours|37|COLLEGE MAURICE GENEVOIX|Hors EP|331|103.3|12.9|41.8
0370022Y|516481.8|6719480.6|2014|37167|public|OrlÃ©ans-Tours|37|COLLEGE DU PARC|Hors EP|591|108.6|10.1|39.3
0370022Y|516481.8|6719480.6|2015|37167|public|OrlÃ©ans-Tours|37|COLLEGE DU PARC|Hors EP|550|129.2|13|16.6
0370022Y|516481.8|6719480.6|2016|37167|public|OrlÃ©ans-Tours|37|COLLEGE DU PARC|Hors EP|567|119.7|11.3|17.2
0370022Y|516481.8|6719480.6|2017|37167|public|OrlÃ©ans-Tours|37|COLLEGE DU PARC|Hors EP|554|113.9|10.2|16.6
0370023Z|519635.9|6725607.6|2014|37170|public|OrlÃ©ans-Tours|37|COLLEGE HONORE RACAN|Hors EP|336|112|10.6|0
0370023Z|519635.9|6725607.6|2015|37170|public|OrlÃ©ans-Tours|37|COLLEGE HONORE RACAN|Hors EP|338|126.2|9.8|39.6
0370023Z|519635.9|6725607.6|2016|37170|public|OrlÃ©ans-Tours|37|COLLEGE HONORE RACAN|Hors EP|336|84.4|7.2|37.1
0370023Z|519635.9|6725607.6|2017|37170|public|OrlÃ©ans-Tours|37|COLLEGE HONORE RACAN|Hors EP|315|127|12.5|39.5
0370024A|514463.4|6664649.3|2014|37174|public|OrlÃ©ans-Tours|37|COLLEGE PATRICK BAUDRY|Hors EP|146|99.1|10.4|1.4
0370024A|514463.4|6664649.3|2015|37174|public|OrlÃ©ans-Tours|37|COLLEGE PATRICK BAUDRY|Hors EP|160|96|8.8|3.1
0370024A|514463.4|6664649.3|2016|37174|public|OrlÃ©ans-Tours|37|COLLEGE PATRICK BAUDRY|Hors EP|148|96.3|11.6|19.7
0370024A|514463.4|6664649.3|2017|37174|public|OrlÃ©ans-Tours|37|COLLEGE PATRICK BAUDRY|Hors EP|148|82.2|9.9|14.6
0370026C|542077.4|6641816.7|2014|37189|public|OrlÃ©ans-Tours|37|COLLEGE GASTON DEFFERRE|Hors EP|144|98.8|12.6|11.4
0370026C|542077.4|6641816.7|2015|37189|public|OrlÃ©ans-Tours|37|COLLEGE GASTON DEFFERRE|Hors EP|138|128.4|9.9|7
0370026C|542077.4|6641816.7|2016|37189|public|OrlÃ©ans-Tours|37|COLLEGE GASTON DEFFERRE|Hors EP|130|96|10.2|25.7
0370026C|542077.4|6641816.7|2017|37189|public|OrlÃ©ans-Tours|37|COLLEGE GASTON DEFFERRE|Hors EP|120|74.7|10|26.8
0370033K|526855.6|6704491|2014|37261|public|OrlÃ©ans-Tours|37|COLLEGE PIERRE DE RONSARD|Hors EP|415|98.9|11.9|21.1
0370033K|526855.6|6704491|2015|37261|public|OrlÃ©ans-Tours|37|COLLEGE PIERRE DE RONSARD|Hors EP|420|108.6|10.8|30.7
0370033K|526855.6|6704491|2016|37261|public|OrlÃ©ans-Tours|37|COLLEGE PIERRE DE RONSARD|Hors EP|466|86.3|12.6|27.7
0370033K|526855.6|6704491|2017|37261|public|OrlÃ©ans-Tours|37|COLLEGE PIERRE DE RONSARD|Hors EP|484|96|9.8|42.8
0370034L|497808.9|6708366.5|2014|37241|public|OrlÃ©ans-Tours|37|COLLEGE BERNARD DE FONTENELLE|Hors EP|411|100.2|11.5|51.9
0370034L|497808.9|6708366.5|2015|37241|public|OrlÃ©ans-Tours|37|COLLEGE BERNARD DE FONTENELLE|Hors EP|396|85.2|8.7|12.3
0370034L|497808.9|6708366.5|2016|37241|public|OrlÃ©ans-Tours|37|COLLEGE BERNARD DE FONTENELLE|Hors EP|397|111.1|10.5|23
0370034L|497808.9|6708366.5|2017|37241|public|OrlÃ©ans-Tours|37|COLLEGE BERNARD DE FONTENELLE|Hors EP|396|84.2|10.5|25.2
0370041U|526096.6|6700756|2014|37261|public|OrlÃ©ans-Tours|37|COLLEGE MICHELET|Hors EP|474|107.2|12.7|40.3
0370041U|526096.6|6700756|2015|37261|public|OrlÃ©ans-Tours|37|COLLEGE MICHELET|Hors EP|475|112.2|9.2|36.8
0370041U|526096.6|6700756|2016|37261|public|OrlÃ©ans-Tours|37|COLLEGE MICHELET|Hors EP|444|110.4|11.7|-0
0370041U|526096.6|6700756|2017|37261|public|OrlÃ©ans-Tours|37|COLLEGE MICHELET|Hors EP|427|125.7|9.1|49.9
0370044X|525849.1|6702189.7|2014|37261|public|OrlÃ©ans-Tours|37|COLLEGE ANATOLE FRANCE|Hors EP|492|101.9|12.1|0
0370044X|525849.1|6702189.7|2015|37261|public|OrlÃ©ans-Tours|37|COLLEGE ANATOLE FRANCE|Hors EP|493|103.1|9.2|25.4
0370044X|525849.1|6702189.7|2016|37261|public|OrlÃ©ans-Tours|37|COLLEGE ANATOLE FRANCE|Hors EP|496|77.4|10.9|20.4
0370044X|525849.1|6702189.7|2017|37261|public|OrlÃ©ans-Tours|37|COLLEGE ANATOLE FRANCE|Hors EP|512|115.3|14.4|39.9
0370045Y|524676.2|6700914.4|2014|37261|public|OrlÃ©ans-Tours|37|COLLEGE FRANCOIS RABELAIS|Hors EP|540|101.9|13|15
0370045Y|524676.2|6700914.4|2015|37261|public|OrlÃ©ans-Tours|37|COLLEGE FRANCOIS RABELAIS|Hors EP|508|123.2|12.2|5.4
0370045Y|524676.2|6700914.4|2016|37261|public|OrlÃ©ans-Tours|37|COLLEGE FRANCOIS RABELAIS|Hors EP|502|81|9.5|12.6
0370045Y|524676.2|6700914.4|2017|37261|public|OrlÃ©ans-Tours|37|COLLEGE FRANCOIS RABELAIS|Hors EP|521|92|10.6|15.9
0370051E|563937.9|6674641.1|2014|37157|public|OrlÃ©ans-Tours|37|COLLEGE|Hors EP|228|110.4|10.4|11.2
0370051E|563937.9|6674641.1|2015|37157|public|OrlÃ©ans-Tours|37|COLLEGE|Hors EP|226|103.6|12.5|48
0370051E|563937.9|6674641.1|2016|37157|public|OrlÃ©ans-Tours|37|COLLEGE|Hors EP|231|89.3|13.6|47.6
0370051E|563937.9|6674641.1|2017|37157|public|OrlÃ©ans-Tours|37|COLLEGE|Hors EP|222|111.9|11.7|16.7
0370071B|523985.5|6696599.4|2014|37122|public|OrlÃ©ans-Tours|37|COLLEGE LA RABIERE|REP+|241|93.3|11.4|47
0370071B|523985.5|6696599.4|2015|37122|public|OrlÃ©ans-Tours|37|COLLEGE LA RABIERE|REP+|240|94.9|14.1|23.5
0370071B|523985.5|6696599.4|2016|37122|public|OrlÃ©ans-Tours|37|COLLEGE LA RABIERE|REP+|238|117.6|10.3|30.9
0370071B|523985.5|6696599.4|2017|37122|public|OrlÃ©ans-Tours|37|COLLEGE LA RABIERE|REP+|239|101.2|11.2|32.3
0370729S|525305.4|6701675.7|2014|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT MARTIN|Hors EP|552|99.6|10.2|16.7
0370729S|525305.4|6701675.7|2015|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT MARTIN|Hors EP|568|111.6|11.2|19.8
0370729S|525305.4|6701675.7|2016|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT MARTIN|Hors EP|567|124.7|9.8|21.1
0370729S|525305.4|6701675.7|2017|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT MARTIN|Hors EP|557|71|9.3|19.3
0370730T|526615.9|6701320.2|2014|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MAINTENON|Hors EP|147|118.1|9.5|6.9
0370730T|526615.9|6701320.2|2015|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MAINTENON|Hors EP|160|106.8|10.5|25.1
0370730T|526615.9|6701320.2|2016|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MAINTENON|Hors EP|163|102.9|12.6|15.9
0370730T|526615.9|6701320.2|2017|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MAINTENON|Hors EP|157|129.3|8.9|21.8
0370732V|527838.6|6702807.4|2014|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MARMOUTIER|Hors EP|438|142.8|10.3|21.1
0370732V|527838.6|6702807.4|2015|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MARMOUTIER|Hors EP|316|105|12.8|37.1
0370732V|527838.6|6702807.4|2016|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MARMOUTIER|Hors EP|392|94.3|9.6|31.6
0370732V|527838.6|6702807.4|2017|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE MARMOUTIER|Hors EP|403|107.5|12|16.9
0370733W|486072.1|6690975.8|2014|37031|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE JOUTEUX|Hors EP|190|83.2|10.8|37.8
0370733W|486072.1|6690975.8|2015|37031|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE JOUTEUX|Hors EP|185|78.3|10.6|20.4
0370733W|486072.1|6690975.8|2016|37031|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE JOUTEUX|Hors EP|184|125.7|10.9|18.4
0370733W|486072.1|6690975.8|2017|37031|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE JOUTEUX|Hors EP|164|95.6|10.6|11.4
0370738B|542292.2|6641261|2014|37189|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE NOTRE DAME|Hors EP|61|73.5|8.7|43.5
0370738B|542292.2|6641261|2015|37189|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE NOTRE DAME|Hors EP|67|119.1|12.7|31
0370738B|542292.2|6641261|2016|37189|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE NOTRE DAME|Hors EP|68|94.5|10.7|7.7
0370738B|542292.2|6641261|2017|37189|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE NOTRE DAME|Hors EP|69|86.4|10.8|36.8
0370739C|496609.4|6660586.2|2014|37196|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE SACRE COEUR|Hors EP|141|90.7|11|25.9
0370739C|496609.4|6660586.2|2015|37196|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE SACRE COEUR|Hors EP|129|105.4|8.7|13.9
0370739C|496609.4|6660586.2|2016|37196|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE SACRE COEUR|Hors EP|126|63.4|12.1|25.6
0370739C|496609.4|6660586.2|2017|37196|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE LE SACRE COEUR|Hors EP|147|94.2|10|24.9
0370740D|522583.2|6695341|2014|37122|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT GATIEN|Hors EP|692|62.6|9.6|23.2
0370740D|522583.2|6695341|2015|37122|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT GATIEN|Hors EP|688|109.6|9.9|25.5
0370740D|522583.2|6695341|2016|37122|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT GATIEN|Hors EP|661|92.9|9.5|34
0370740D|522583.2|6695341|2017|37122|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT GATIEN|Hors EP|688|90.8|10.1|28.7
0370741E|528105.7|6696522.5|2014|37050|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT ETIENNE|Hors EP|259|90.8|8.9|17.7
0370741E|528105.7|6696522.5|2015|37050|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT ETIENNE|Hors EP|267|92.1|11.5|0
0370741E|528105.7|6696522.5|2016|37050|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT ETIENNE|Hors EP|279|119|9.8|29.9
0370741E|528105.7|6696522.5|2017|37050|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINT ETIENNE|Hors EP|322|85.9|12.5|35.8
0370743G|525307.2|6700510.4|2014|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINTE JEANNE D ARC|Hors EP|281|121|9.7|14.9
0370743G|525307.2|6700510.4|2015|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINTE JEANNE D ARC|Hors EP|276|113.7|11.6|31.8
0370743G|525307.2|6700510.4|2016|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINTE JEANNE D ARC|Hors EP|292|136.8|12.2|18.6
0370743G|525307.2|6700510.4|2017|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SAINTE JEANNE D ARC|Hors EP|272|119.2|10.9|36.6
0370744H|525990|6701731.9|2014|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SACRE COEUR LA PROVIDENCE|Hors EP|181|108.4|10|15.7
0370744H|525990|6701731.9|2015|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SACRE COEUR LA PROVIDENCE|Hors EP|166|94.8|7.8|14.9
0370744H|525990|6701731.9|2016|37261|privé sous contrat|OrlÃ©ans-Tours|37|COLLEGE PRIVE SACRE COEUR LA PROVIDENCE|Hors EP|152|107.6|13.2|39.6
